OBJECTID,UOGID,NAME,TYPE,STUSAB,STATE,CDBG_AMT,ESG_AMT,HOME_AMT,HOPWA_AMT,TOT_AMT,YEAR,SHAPE_Length,SHAPE_Area
748,429041,CUMBERLAND COUNTY,61,PA,42,1286063,0,525247,0,1811310,2021,2.74892074406546,0.149343787871891
749,429045,DELAWARE COUNTY,61,PA,42,3712872,316845,1029918,0,5059635,2021,1.87422003891265,0.0443150162314642
750,429077,LEHIGH COUNTY,61,PA,42,1266020,0,0,0,1266020,2021,2.13479574879609,0.0897984505927434
751,429079,LUZERNE COUNTY,61,PA,42,4124459,356450,698075,0,5178984,2021,3.00912835915987,0.246721083991518
752,429095,NORTHAMPTON COUNTY,61,PA,42,2217058,188678,645299,0,3051035,2021,2.13659276221015,0.0999609960437887
753,429125,WASHINGTON COUNTY,61,PA,42,3543967,305020,580725,0,4429712,2021,2.64142797770526,0.235863367645362
754,429133,YORK COUNTY,61,PA,42,2256280,190325,847179,0,3293784,2021,3.02074740299972,0.247026364917018
755,429999,PA NONENTITLEMENT,21,PA,42,42051147,5772551,19711999,2170483,69706180,2021,30.286931554662,9.54645272898972
756,440054,CRANSTON,52,RI,44,1128262,0,0,0,1128262,2021,0.544691587155871,0.00808772635875465
757,411140,REDMOND,51,OR,41,235506,0,0,0,235506,2021,0.428547517830854,0.00490115325109639
758,411200,SALEM,51,OR,41,1374901,0,648222,0,2023123,2021,1.9423025085675,0.0152753263900735
759,411290,SPRINGFIELD,52,OR,41,563650,0,0,0,563650,2021,1.24851004766411,0.00454829055416396
760,450716,HILTON HEAD ISLAND,51,SC,45,229188,0,0,0,229188,2021,0.678746912511162,0.0109513274276296
761,451554,SPARTANBURG,51,SC,45,679649,0,213662,0,893311,2021,1.2004194351358,0.00508479381965532
762,459019,CHARLESTON COUNTY,61,SC,45,1870020,158023,811306,0,2839349,2021,21.216948095261,0.219709681223414
763,459045,GREENVILLE COUNTY,61,SC,45,2731745,237851,1145414,0,4115010,2021,5.92871371003306,0.198305049590034
764,459063,LEXINGTON COUNTY,61,SC,45,1865909,157470,722712,0,2746091,2021,3.18810655521592,0.193990302824658
765,459079,RICHLAND COUNTY,61,SC,45,1646221,0,744108,0,2390329,2021,9.47143220855189,0.15339764021021
766,510186,BRISTOL,51,VA,51,265409,0,0,0,265409,2021,0.51473917436109,0.003432683461358
767,510288,CHESAPEAKE,52,VA,51,1164279,0,553118,0,1717397,2021,1.45672898182438,0.0916117319502515
768,510312,CHRISTIANSBURG,51,VA,51,104407,0,0,0,104407,2021,0.567166262271862,0.00343960660979795
769,510384,COLONIAL HEIGHTS,52,VA,51,109405,0,0,0,109405,2021,0.288399375447229,0.00205534465886743
770,510612,FREDERICKSBURG,52,VA,51,193431,0,0,0,193431,2021,0.290360165533751,0.0028035851798172
771,510720,HAMPTON,51,VA,51,963720,0,539408,0,1503128,2021,1.29581964749297,0.0139290950639376
772,510780,HOPEWELL,52,VA,51,221881,0,0,0,221881,2021,0.307628977123316,0.00276144572610668
773,510960,LYNCHBURG,51,VA,51,718593,0,413856,0,1132449,2021,0.661798535954181,0.0130849549948676
774,511098,NEWPORT NEWS,51,VA,51,1308136,0,771200,0,2079336,2021,1.32830697012262,0.0185615994960096
775,511236,PORTSMOUTH,51,VA,51,1613918,0,425453,0,2039371,2021,0.600460101886805,0.00962800302514767
776,461392,RAPID CITY,51,SD,46,537487,0,0,0,537487,2021,2.26255048180833,0.0229784759362965
777,469999,SD NONENTITLEMENT,21,SD,46,5962985,638752,3000000,0,9601737,2021,28.1550645010389,22.5317526107014
778,470228,BRISTOL,51,TN,47,211301,0,1107741,0,1319042,2021,1.53361105491293,0.00863921376660531
779,470354,CLARKSVILLE,51,TN,47,1024758,0,519309,0,1544067,2021,1.17133172097605,0.0258608295954025
780,470360,CLEVELAND,51,TN,47,363964,0,0,0,363964,2021,0.965758003508977,0.00689428062763214
781,470924,JACKSON,51,TN,47,606647,0,340526,0,947173,2021,1.55235968715062,0.0162298196076837
782,470990,KINGSPORT,51,TN,47,439914,0,0,0,439914,2021,3.46004839788039,0.0145193220646172
783,422898,HARRISBURG,51,PA,42,1981062,167150,483939,494169,3126320,2021,0.339305101466337,0.00325368379745156
784,422937,HAVERFORD,52,PA,42,820641,0,0,0,820641,2021,0.254360299141011,0.00271606912533782
785,422958,HAZLETON,51,PA,42,723101,0,0,0,723101,2021,0.181174779405005,0.00166508239140714
786,423411,JOHNSTOWN,51,PA,42,1290130,0,243585,0,1533715,2021,0.479627225515965,0.0016715666301195
787,423573,LANCASTER CITY,51,PA,42,1669525,145679,0,0,1815204,2021,0.745832122377745,0.00201127015848501
788,423657,LEBANON,51,PA,42,665124,0,0,0,665124,2021,0.228702889312759,0.00114397447655054
789,423951,LOWER MERION,52,PA,42,1034519,0,0,0,1034519,2021,0.429193452703991,0.00651235868876696
790,489029,BEXAR COUNTY,61,TX,48,2340340,204107,702066,0,3246513,2021,9.50162021065162,0.19039642845234
791,489157,FORT BEND COUNTY,61,TX,48,3448126,282488,916596,0,4647210,2021,5.60337566062714,0.200113456451605
792,481986,GALVESTON,52,TX,48,1166618,0,246705,0,1413323,2021,2.11993440283005,0.0121275724856218
793,482514,HOUSTON,51,TX,48,24665507,2105548,10306178,10884807,47962040,2021,24.7420750448037,0.16660074570058
794,511308,RICHMOND,51,VA,51,4505969,389042,1611568,1500245,8006824,2021,0.868614798418375,0.0165313283446071
795,391626,EUCLID,52,OH,39,1065649,0,0,0,1065649,2021,0.298349656823249,0.00298237379803865
796,424086,MCKEESPORT,52,PA,42,1064467,0,0,0,1064467,2021,0.233252180655404,0.00148573208917404
797,424434,MILLCREEK TOWNSHIP,52,PA,42,239016,0,0,0,239016,2021,0.880254570554117,0.00909344331593826
798,424914,NORRISTOWN,52,PA,42,817489,0,0,0,817489,2021,0.132395622039747,0.000987374068571139
799,425340,PENN HILLS,52,PA,42,709540,0,0,0,709540,2021,0.37748739845073,0.00532413018960183
800,425451,PHILADELPHIA,51,PA,42,44735967,3806670,11590500,7474115,67607252,2021,1.32652344279564,0.0384638358706396
801,425529,PITTSBURGH,51,PA,42,14055782,1214418,2301686,1202295,18774181,2021,1.28911626524679,0.0160374276421183
802,425793,READING,51,PA,42,2539414,218413,988013,0,3745840,2021,0.383901990195503,0.00278155080374039
803,426201,SCRANTON,51,PA,42,2818440,239150,673248,0,3730838,2021,0.572318062407021,0.00712220881027023
804,429003,ALLEGHENY COUNTY,61,PA,42,13878721,1189410,2979779,0,18047910,2021,4.0965173997629,0.181673768170633
